number,value,datetime_start,datetime_complete,duration,params_filters_0,params_filters_1,params_filters_2,params_filters_3,params_n_conv_layers,params_padding_0,params_padding_1,params_padding_2,params_padding_3,params_pool_0,params_pool_1,params_pool_2,params_pool_3,user_attrs_macs,user_attrs_macs_ratio,user_attrs_val_accuracy,system_attrs_tpe:relative_params:0,state
83,0.8770775441566819,2026-09-16 14:48:16.070092,2026-09-16 14:49:03.498713,0 days 00:00:47.428621,24,24,32.0,,3,same,same,same,,2,2,4.0,,2534704.0,0.04480599830583497,0.8806620240211487,"{""filters_0"": 24, ""filters_1"": 24, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
84,0.8831133569195598,2026-09-16 14:49:03.499351,2026-09-16 14:50:13.022991,0 days 00:01:09.523640,48,24,16.0,,3,valid,same,same,,2,2,1.0,,3810320.0,0.06735508030313958,0.888501763343811,"{""filters_0"": 48, ""filters_1"": 24, ""n_conv_layers"": 3, ""padding_0"": ""valid"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
85,0.8819206298556322,2026-09-16 14:50:13.024138,2026-09-16 14:51:58.521725,0 days 00:01:45.497587,32,32,32.0,48.0,4,same,same,valid,same,1,2,1.0,1.0,18821040.0,0.332699789148576,0.9085366129875183,"{""filters_0"": 32, ""filters_1"": 32, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 1, ""pool_1"": 2}",COMPLETE
86,0.4462772451944147,2026-09-16 14:51:58.522815,2026-09-16 14:52:16.871508,0 days 00:00:18.348693,48,48,48.0,16.0,4,same,same,valid,same,4,2,1.0,1.0,2262896.0,0.040001244461791485,0.44947734475135803,"{""filters_0"": 48, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 4, ""pool_1"": 2}",COMPLETE
87,0.8892861034827723,2026-09-16 14:52:16.872095,2026-09-16 14:52:50.257863,0 days 00:00:33.385768,16,24,32.0,,3,valid,same,same,,2,4,1.0,,1293280.0,0.02286132877407786,0.8911150097846985,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 3, ""padding_0"": ""valid"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 4}",COMPLETE
88,0.254154169170058,2026-09-16 14:52:50.258369,2026-09-16 14:53:14.795450,0 days 00:00:24.537081,48,32,24.0,32.0,4,same,valid,valid,same,2,2,2.0,1.0,4454080.0,0.07873483488961765,0.2604529559612274,"{""filters_0"": 48, ""filters_1"": 32, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
89,0.4266541471132033,2026-09-16 14:53:14.796520,2026-09-16 14:53:26.851689,0 days 00:00:12.055169,16,16,32.0,32.0,4,same,same,valid,valid,2,2,1.0,2.0,1355776.0,0.023966071446248443,0.4285714328289032,"{""filters_0"": 16, ""filters_1"": 16, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
90,0.4480700491491458,2026-09-16 14:53:26.852199,2026-09-16 14:53:46.661862,0 days 00:00:19.809663,24,16,48.0,24.0,4,same,valid,same,same,2,2,1.0,1.0,2227080.0,0.039368124525372174,0.45121949911117554,"{""filters_0"": 24, ""filters_1"": 16, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
91,0.3008602109778811,2026-09-16 14:53:46.663524,2026-09-16 14:53:57.784142,0 days 00:00:11.120618,16,24,32.0,32.0,4,same,valid,valid,same,2,2,1.0,1.0,1609216.0,0.028446133895603798,0.3031359016895294,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
92,0.3709417258107627,2026-09-16 14:53:57.785109,2026-09-16 14:54:14.230509,0 days 00:00:16.445400,32,32,32.0,32.0,4,valid,same,valid,same,2,2,1.0,1.0,3793696.0,0.0670612176210133,0.3763066232204437,"{""filters_0"": 32, ""filters_1"": 32, ""n_conv_layers"": 4, ""padding_0"": ""valid"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
93,,2026-09-16 14:54:14.231064,2026-09-16 14:54:14.273211,0 days 00:00:00.042147,48,24,32.0,,4,same,valid,valid,,4,2,,,,,,"{""filters_0"": 48, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 4, ""pool_1"": 2}",PRUNED
94,0.3925201606074751,2026-09-16 14:54:14.273570,2026-09-16 14:54:29.064151,0 days 00:00:14.790581,32,24,32.0,32.0,4,same,valid,valid,same,2,2,1.0,1.0,2702176.0,0.047766403208448764,0.396341472864151,"{""filters_0"": 32, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
95,0.8955061851838455,2026-09-16 14:54:29.065270,2026-09-16 14:55:15.222568,0 days 00:00:46.157298,16,24,32.0,32.0,4,same,valid,valid,same,2,1,1.0,1.0,4286464.0,0.07577188449697582,0.9015679359436035,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 1}",COMPLETE
96,0.32435571273688574,2026-09-16 14:55:15.223163,2026-09-16 14:55:30.416967,0 days 00:00:15.193804,16,24,32.0,32.0,4,same,valid,valid,same,1,4,2.0,1.0,4705792.0,0.0831843514586365,0.33101046085357666,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 1, ""pool_1"": 4}",COMPLETE
97,0.44255078683673427,2026-09-16 14:55:30.417507,2026-09-16 14:55:43.174103,0 days 00:00:12.756596,16,48,16.0,48.0,4,same,valid,valid,same,2,2,1.0,1.0,2434128.0,0.04302811493735973,0.445993036031723,"{""filters_0"": 16, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
98,,2026-09-16 14:55:43.174653,2026-09-16 14:55:43.223434,0 days 00:00:00.048781,16,24,32.0,,3,same,same,same,,4,2,4.0,,,,,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 4, ""pool_1"": 2}",PRUNED
99,0.3802245289466494,2026-09-16 14:55:43.223819,2026-09-16 14:55:54.822559,0 days 00:00:11.598740,16,24,48.0,32.0,4,valid,same,valid,same,2,2,1.0,1.0,2157280.0,0.03813426894233475,0.38327527046203613,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""valid"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
