number,value,datetime_start,datetime_complete,duration,params_filters_0,params_filters_1,params_filters_2,params_filters_3,params_n_conv_layers,params_padding_0,params_padding_1,params_padding_2,params_padding_3,params_pool_0,params_pool_1,params_pool_2,params_pool_3,user_attrs_macs,user_attrs_macs_ratio,user_attrs_val_accuracy,system_attrs_tpe:relative_params:0,state
34,,2026-09-16 14:17:12.528509,2026-09-16 14:17:12.596510,0 days 00:00:00.068001,16,24,48.0,48.0,4,valid,valid,same,same,4,2,2.0,2.0,,,,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""valid"", ""padding_1"": ""valid"", ""pool_0"": 4, ""pool_1"": 2}",PRUNED
35,0.8945719527831524,2026-09-16 14:17:12.596920,2026-09-16 14:17:51.234944,0 days 00:00:38.638024,16,24,32.0,,3,same,same,same,,2,2,2.0,,1867264.0,0.033007652025856524,0.897212564945221,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
36,0.31692741562607757,2026-09-16 14:17:51.235434,2026-09-16 14:17:58.660385,0 days 00:00:07.424951,16,24,,,2,same,same,,,2,1,,,1335000.0,0.023598813801646933,0.31881532073020935,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 2, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 1}",COMPLETE
37,0.3068406181556112,2026-09-16 14:17:58.660895,2026-09-16 14:18:08.641301,0 days 00:00:09.980406,16,48,32.0,,3,same,same,same,,2,2,2.0,,3539968.0,0.06257606419160186,0.31184670329093933,"{""filters_0"": 16, ""filters_1"": 48, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
38,0.913603268438204,2026-09-16 14:18:08.641818,2026-09-16 14:18:48.775439,0 days 00:00:40.133621,16,24,32.0,32.0,4,same,same,same,same,2,2,1.0,1.0,2576896.0,0.045551826884051516,0.9172474145889282,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
39,0.9009822977583208,2026-09-16 14:18:48.777125,2026-09-16 14:19:20.555553,0 days 00:00:31.778428,16,24,32.0,,3,same,same,valid,,2,2,1.0,,1646080.0,0.029097779342782758,0.9033101201057434,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
40,0.9091066184572696,2026-09-16 14:19:20.556085,2026-09-16 14:19:58.588128,0 days 00:00:38.032043,16,24,32.0,32.0,4,same,same,valid,same,2,2,1.0,1.0,2060800.0,0.036428790623546065,0.9120209217071533,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
41,0.12371516596115206,2026-09-16 14:19:58.588723,2026-09-16 14:20:10.355304,0 days 00:00:11.766581,16,24,32.0,32.0,4,same,same,valid,same,2,1,1.0,1.0,5528320.0,0.09772419049881706,0.13153310120105743,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 1}",COMPLETE
42,0.9123584774363924,2026-09-16 14:20:10.356150,2026-09-16 14:20:49.445683,0 days 00:00:39.089533,16,24,32.0,32.0,4,same,valid,valid,same,2,2,1.0,1.0,1609216.0,0.028446133895603798,0.9146341681480408,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
43,0.89755012067446,2026-09-16 14:20:49.446582,2026-09-16 14:21:19.838236,0 days 00:00:30.391654,16,24,32.0,32.0,4,same,valid,valid,same,2,2,1.0,1.0,1609216.0,0.028446133895603798,0.8998258113861084,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
